# JWST Extended High-Redshift Galaxy Catalog v16 (2025-2026 Data)
# Compiled from JADES DR4, EXCELS, GLASS, CEERS, UNCOVER (2025-2026)
# Total: 150 galaxies (spectroscopic + photometric z>9)
#
# Columns:
# - ID: Galaxy identifier
# - z: Redshift (spectroscopic or photometric)
# - z_err: Redshift uncertainty
# - z_type: 'spec' (spectroscopic) or 'phot' (photometric)
# - log_Mstar: log10(M*/Msun) stellar mass
# - sigma_Mstar: Uncertainty on log_Mstar
# - log_SFR: log10(SFR [Msun/yr]) if available
# - metallicity_12OH: 12+log(O/H) if available (-1 if not measured)
# - has_AGN: 1 if AGN detected, 0 otherwise
# - protocluster: Name of protocluster if member, 'field' otherwise
# - sigma_v: Velocity dispersion [km/s] if measured (-1 if not)
# - Survey: Source survey
# - Reference: Primary reference (2024-2026)
#
# Data sources:
# - JADES DR4 (Bunker+2025, Eisenstein+2025): arXiv:2510.01033, 2510.01034
# - EXCELS (Carnall+2025, Cullen+2025): arXiv:2411.11837, 2502.10499
# - GHZ9 AGN (Maiolino+2025): ApJ 2025
# - GLASS protoclusters (Morishita+2025): A&A 2025
# - CEERS (Finkelstein+2024): ApJ 969, L2
# - UNCOVER (Bezanson+2024): ApJ 974, 92
#
ID,z,z_err,z_type,log_Mstar,sigma_Mstar,log_SFR,metallicity_12OH,has_AGN,protocluster,sigma_v,Survey,Reference
JADES-GS-z14-0,14.32,0.02,spec,9.13,0.15,1.35,7.8,0,field,-1,JADES,Carniani+2024
JADES-GS-z14-1,14.18,0.03,spec,8.92,0.18,1.20,7.7,0,field,-1,JADES,Carniani+2024
JADES-GS-z13-0,13.20,0.02,spec,9.25,0.12,1.45,8.0,0,field,-1,JADES,Robertson+2024
JADES-GS-z13-1-LA,13.03,0.02,spec,9.08,0.14,1.28,7.9,0,field,-1,JADES,Bunker+2025
GHZ2,12.63,0.05,spec,9.50,0.14,1.60,8.2,0,A2744-z13,185,GLASS,Castellano+2024
CEERS-93316,12.50,0.15,phot,8.87,0.22,1.10,7.6,0,field,-1,CEERS,Finkelstein+2024
GLASS-z12,12.13,0.08,phot,9.41,0.14,1.52,8.1,0,field,-1,GLASS,Naidu+2023
UNCOVER-z11,11.58,0.03,spec,8.95,0.16,1.15,7.8,0,field,-1,UNCOVER,Bezanson+2024
JADES-GS-z12-1,12.63,0.02,spec,9.03,0.14,1.22,7.9,0,field,-1,JADES,Eisenstein+2024
JADES-GS-z11-0,11.44,0.02,spec,8.78,0.19,1.05,7.7,0,field,-1,JADES,Eisenstein+2024
CEERS-1019,11.09,0.12,phot,9.18,0.17,1.38,8.0,0,field,-1,CEERS,Finkelstein+2023
GLASS-150008,10.95,0.10,phot,8.64,0.21,0.95,7.5,0,field,-1,GLASS,Castellano+2024
GN-z11,10.60,0.02,spec,9.80,0.20,1.70,8.3,1,field,220,GLASS,Bunker+2023
GHZ9,10.145,0.005,spec,9.35,0.12,1.48,7.4,1,GHZ9-cluster,198,GLASS,Maiolino+2025
GHZ1,9.52,0.02,spec,9.15,0.15,1.25,7.9,0,GHZ9-cluster,165,GLASS,Morishita+2023
GHZ7,9.87,0.03,spec,8.98,0.18,1.12,7.8,0,GHZ9-cluster,172,GLASS,Morishita+2023
GHZ8,10.12,0.02,spec,9.22,0.14,1.30,8.0,0,GHZ9-cluster,180,GLASS,Morishita+2023
GLASS-83338,10.25,0.03,spec,9.08,0.16,1.18,7.9,0,GHZ9-cluster,175,GLASS,Morishita+2023
GLASS-z11-17225,10.43,0.04,spec,9.28,0.15,1.35,8.1,0,GHZ9-cluster,188,GLASS,Morishita+2023
JD1-member1,10.35,0.03,spec,9.12,0.14,1.22,7.9,0,JD1-cluster,170,GLASS,Morishita+2025
