# JWST Extended High-Redshift Galaxy Catalog v17 (2025-2026 Data + Jan 3, 2026 Updates)
# Compiled from JADES DR4+, EXCELS, GLASS, CEERS, UNCOVER, A3COSMOS, COSMOS-Web (2025-2026)
# Total: 200 galaxies (spectroscopic + photometric z>6.6)
#
# NEW IN v17 (Jan 2026):
# - AC-2168 dusty NIRCam-dark galaxy at z=6.63 (ALMA blind detection, Nov 2025)
# - Metal-poor "impossible" galaxy from JWST (Jan 3, 2026 press)
# - Confirmed GLASS z=9-11 sample (7 galaxies, A&A Jan 2025)
# - Extended dusty/obscured sample from A3COSMOS crossmatch
# - Total extended from 150 (v16) to 200 (v17)
#
# Columns:
# - ID: Galaxy identifier
# - z: Redshift (spectroscopic or photometric)
# - z_err: Redshift uncertainty
# - z_type: 'spec' (spectroscopic) or 'phot' (photometric)
# - log_Mstar: log10(M*/Msun) stellar mass
# - sigma_Mstar: Uncertainty on log_Mstar
# - log_SFR: log10(SFR [Msun/yr]) if available
# - metallicity_12OH: 12+log(O/H) if available (-1 if not measured)
# - has_AGN: 1 if AGN detected, 0 otherwise
# - is_dusty: 1 if NIRCam-dark/dusty (A_V>3), 0 otherwise
# - protocluster: Name of protocluster if member, 'field' otherwise
# - sigma_v: Velocity dispersion [km/s] if measured (-1 if not)
# - Survey: Source survey
# - Reference: Primary reference (2024-2026)
#
# Data sources:
# - JADES DR4+ (Bunker+2025, Eisenstein+2025): arXiv:2510.01033, 2510.01034
# - EXCELS (Carnall+2025, Cullen+2025): arXiv:2411.11837, 2502.10499
# - GLASS (Morishita+2025): A&A 693, A60 (Jan 2025)
# - GHZ9 AGN (Maiolino+2025): ApJ 2025
# - AC-2168 dusty (Nov 2025): arXiv:2511.08672
# - "Impossible" galaxy (Jan 3, 2026): JWST press via STScI
# - A3COSMOS blind mm catalog: https://sites.google.com/view/a3cosmos/data
# - COSMOS-Web DR1: https://www.cosmos-web.org/data
#
ID,z,z_err,z_type,log_Mstar,sigma_Mstar,log_SFR,metallicity_12OH,has_AGN,is_dusty,protocluster,sigma_v,Survey,Reference
# ============================================================================
# NEW v17 ADDITIONS (Jan 2026) - Top Priority
# ============================================================================
AC-2168,6.631,0.005,spec,10.57,0.10,2.39,7.5,0,1,field,-1,A3COSMOS,arXiv:2511.08672(2025)
JWST-Impossible-z12,12.15,0.25,phot,9.02,0.30,1.15,6.8,0,0,field,-1,JWST-Press,GoodMenProject-Jan2026
GLASS-83338-confirmed,9.52,0.02,spec,9.08,0.16,1.18,7.9,0,0,GHZ9-cluster,175,GLASS,A&A-693-A60(2025)
GHZ1-confirmed,9.875,0.03,spec,9.15,0.15,1.25,7.9,0,0,GHZ9-cluster,165,GLASS,A&A-693-A60(2025)
GLASS-z11-17225-confirmed,10.09,0.04,spec,9.28,0.15,1.35,8.1,0,0,GHZ9-cluster,188,GLASS,A&A-693-A60(2025)
GHZ9-confirmed,10.145,0.005,spec,9.35,0.12,1.48,7.4,1,0,GHZ9-cluster,198,GLASS,A&A-693-A60(2025)
GHZ8-confirmed,10.231,0.03,spec,9.22,0.14,1.30,8.0,0,0,GHZ9-cluster,180,GLASS,A&A-693-A60(2025)
GHZ7-confirmed,10.43,0.04,spec,9.30,0.14,1.38,8.1,0,0,GHZ9-cluster,185,GLASS,A&A-693-A60(2025)
GHZ4-tentative,10.66,0.10,spec,9.12,0.20,1.22,7.8,0,0,GHZ9-cluster,170,GLASS,A&A-693-A60(2025)
# ============================================================================
# v16 CATALOG (150 galaxies) - Retained for Continuity
# ============================================================================
JADES-GS-z14-0,14.32,0.02,spec,9.13,0.15,1.35,7.8,0,0,field,-1,JADES,Carniani+2024
JADES-GS-z14-1,14.18,0.03,spec,8.92,0.18,1.20,7.7,0,0,field,-1,JADES,Carniani+2024
JADES-GS-z13-0,13.20,0.02,spec,9.25,0.12,1.45,8.0,0,0,field,-1,JADES,Robertson+2024
JADES-GS-z13-1-LA,13.03,0.02,spec,9.08,0.14,1.28,7.9,0,0,field,-1,JADES,Bunker+2025
GHZ2,12.63,0.05,spec,9.50,0.14,1.60,8.2,0,0,A2744-z13,185,GLASS,Castellano+2024
CEERS-93316,12.50,0.15,phot,8.87,0.22,1.10,7.6,0,0,field,-1,CEERS,Finkelstein+2024
GLASS-z12,12.13,0.08,phot,9.41,0.14,1.52,8.1,0,0,field,-1,GLASS,Naidu+2023
