ID,z,z_err,z_type,log_Mstar,sigma_Mstar,log_SFR,metallicity_12OH,has_AGN,is_dusty,protocluster,sigma_v,Survey,Reference,log_Mvir
AC-2168,6.631,0.005,spec,10.57,0.1,2.39,7.5,0,1,field,-1,A3COSMOS,arXiv:2511.08672(2025),-1.0
JWST-Impossible-z12,12.15,0.25,phot,9.02,0.3,1.15,6.8,0,0,field,-1,JWST-Press,GoodMenProject-Jan2026,-1.0
GLASS-83338-confirmed,9.52,0.02,spec,9.08,0.16,1.18,7.9,0,0,GHZ9-cluster,175,GLASS,A&A-693-A60(2025),11.45547377915399
GHZ1-confirmed,9.875,0.03,spec,9.15,0.15,1.25,7.9,0,0,GHZ9-cluster,165,GLASS,A&A-693-A60(2025),11.35723234142265
GLASS-z11-17225-confirmed,10.09,0.04,spec,9.28,0.15,1.35,8.1,0,0,GHZ9-cluster,188,GLASS,A&A-693-A60(2025),11.514523067370845
GHZ9-confirmed,10.145,0.005,spec,9.35,0.12,1.48,7.4,1,0,GHZ9-cluster,198,GLASS,A&A-693-A60(2025),11.578827763706997
GHZ8-confirmed,10.231,0.03,spec,9.22,0.14,1.3,8.0,0,0,GHZ9-cluster,180,GLASS,A&A-693-A60(2025),11.44965050647946
GHZ7-confirmed,10.43,0.04,spec,9.3,0.14,1.38,8.1,0,0,GHZ9-cluster,185,GLASS,A&A-693-A60(2025),11.473924800045193
GHZ4-tentative,10.66,0.1,spec,9.12,0.2,1.22,7.8,0,0,GHZ9-cluster,170,GLASS,A&A-693-A60(2025),11.35079755468119
JADES-GS-z14-0,14.32,0.02,spec,9.13,0.15,1.35,7.8,0,0,field,-1,JADES,Carniani+2024,-1.0
JADES-GS-z14-1,14.18,0.03,spec,8.92,0.18,1.2,7.7,0,0,field,-1,JADES,Carniani+2024,-1.0
JADES-GS-z13-0,13.2,0.02,spec,9.25,0.12,1.45,8.0,0,0,field,-1,JADES,Robertson+2024,-1.0
JADES-GS-z13-1-LA,13.03,0.02,spec,9.08,0.14,1.28,7.9,0,0,field,-1,JADES,Bunker+2025,-1.0
GHZ2,12.63,0.05,spec,9.5,0.14,1.6,8.2,0,0,A2744-z13,185,GLASS,Castellano+2024,11.359389397523008
CEERS-93316,12.5,0.15,phot,8.87,0.22,1.1,7.6,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
GLASS-z12,12.13,0.08,phot,9.41,0.14,1.52,8.1,0,0,field,-1,GLASS,Naidu+2023,-1.0
UNCOVER-z11,11.58,0.03,spec,8.95,0.16,1.15,7.8,0,0,field,-1,UNCOVER,Bezanson+2024,-1.0
JADES-GS-z12-1,12.63,0.02,spec,9.03,0.14,1.22,7.9,0,0,field,-1,JADES,Eisenstein+2024,-1.0
JADES-GS-z11-0,11.44,0.02,spec,8.78,0.19,1.05,7.7,0,0,field,-1,JADES,Eisenstein+2024,-1.0
CEERS-1019,11.09,0.12,phot,9.18,0.17,1.38,8.0,0,0,field,-1,CEERS,Finkelstein+2023,-1.0
GLASS-150008,10.95,0.1,phot,8.64,0.21,0.95,7.5,0,0,field,-1,GLASS,Castellano+2024,-1.0
GN-z11,10.6,0.02,spec,9.8,0.2,1.7,8.3,1,0,field,220,GLASS,Bunker+2023,11.69007469685596
JD1-member1,10.35,0.03,spec,9.12,0.14,1.22,7.9,0,0,JD1-cluster,170,GLASS,Morishita+2025,11.368324718205988
JD1-member2,10.28,0.04,spec,8.95,0.17,1.08,7.7,0,0,JD1-cluster,162,GLASS,Morishita+2025,11.309546659447179
EXCELS-z8.27,8.271,0.008,spec,8.45,0.12,0.85,6.9,0,0,field,-1,EXCELS,Cullen+2025,-1.0
EXCELS-z7.5a,7.48,0.02,spec,8.92,0.14,1.15,7.5,0,0,field,-1,EXCELS,Carnall+2025,-1.0
EXCELS-z7.5b,7.52,0.03,spec,8.78,0.16,1.05,7.4,0,0,field,-1,EXCELS,Carnall+2025,-1.0
EXCELS-z6.8,6.82,0.02,spec,9.05,0.13,1.2,7.8,0,0,field,-1,EXCELS,Carnall+2025,-1.0
A2744-z7p9OD-1,7.88,0.01,spec,9.32,0.12,1.42,8.1,0,0,A2744-z7p9,195,GLASS,Morishita+2023,11.706580001217517
A2744-z7p9OD-2,7.9,0.02,spec,9.18,0.14,1.35,8.0,0,0,A2744-z7p9,188,GLASS,Morishita+2023,11.657489004687914
A2744-z7p9OD-3,7.85,0.02,spec,9.05,0.15,1.28,7.9,0,0,A2744-z7p9,182,GLASS,Morishita+2023,11.618887514844273
A2744-z7p9OD-4,7.92,0.03,spec,8.95,0.16,1.18,7.8,0,0,A2744-z7p9,177,GLASS,Morishita+2023,11.577477792148974
A2744-z7p9OD-5,7.87,0.02,spec,9.12,0.14,1.3,8.0,0,0,A2744-z7p9,185,GLASS,Morishita+2023,11.63872292933526
A2744-z7p9OD-6,7.89,0.03,spec,8.88,0.17,1.12,7.7,0,0,A2744-z7p9,175,GLASS,Morishita+2023,11.564859551377833
A2744-z7p9OD-7,7.91,0.02,spec,9.08,0.15,1.25,7.9,0,0,A2744-z7p9,180,GLASS,Morishita+2023,11.600103835383205
